Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, female",SP.POP.TOTL.FE.IN,Afghanistan,AFG,14702050,15196504,15715314,16232001,16727437,17196034,17644126,18078879,18512030,18952076
"Population, female",SP.POP.TOTL.FE.IN,Albania,ALB,1438949,1433116,1426832,1420670,1414246,1410814,1409327,1406333,1401011,1393417
"Population, female",SP.POP.TOTL.FE.IN,Algeria,DZA,18155827,18512336,18884019,19268759,19664129,20069497,20482418,20896422,21303388,21697235
"Population, female",SP.POP.TOTL.FE.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Angola,AGO,12245836,12694373,13151985,13618285,14093136,14576127,15067450,15568328,16080520,16605398
"Population, female",SP.POP.TOTL.FE.IN,Antigua and Barbuda,ATG,46487,47034,47559,48060,48543,49002,49439,49863,50264,50659
"Population, female",SP.POP.TOTL.FE.IN,Arab World,ARB,175384870,179326140,183297548,187242559,191123779,194912155,198619733,202328788,206119753,210055400
"Population, female",SP.POP.TOTL.FE.IN,Argentina,ARG,21178884,21415097,21650186,21883730,22115261,22344847,22572521,22797803,23020216,23239321
"Population, female",SP.POP.TOTL.FE.IN,Armenia,ARM,1530148,1532984,1538334,1544503,1550226,1555133,1559427,1563141,1566459,1569487
"Population, female",SP.POP.TOTL.FE.IN,Aruba,ABW,53402,53695,54050,54408,54742,55044,55328,55602,55867,56124
"Population, female",SP.POP.TOTL.FE.IN,Australia,AUS,11172755,11378171,11586371,11770519,11948693,12141288,12349632,12541215,12733486,12895213
"Population, female",SP.POP.TOTL.FE.IN,Austria,AUT,4299034,4315556,4337527,4367372,4411651,4453787,4478340,4493586,4507562,4521483
"Population, female",SP.POP.TOTL.FE.IN,Azerbaijan,AZE,4624010,4681717,4738628,4794145,4847591,4898038,4942298,4981391,5020148,5059967
"Population, female",SP.POP.TOTL.FE.IN,"Bahamas, The",BHS,185312,187327,189106,190815,192592,194446,196365,198313,200256,202155
"Population, female",SP.POP.TOTL.FE.IN,Bahrain,BHR,482116,493912,503660,513533,525097,538855,554227,570464,586367,601109
"Population, female",SP.POP.TOTL.FE.IN,Bangladesh,BGD,73463440,74361840,75256812,76149165,77039130,77928241,78816353,79699596,80572382,81430275
"Population, female",SP.POP.TOTL.FE.IN,Barbados,BRB,147110,147358,147525,147656,147779,147896,148006,148115,148208,148287
"Population, female",SP.POP.TOTL.FE.IN,Belarus,BLR,5069597,5064366,5063837,5066924,5073849,5079571,5077542,5069504,5034023,5022987
"Population, female",SP.POP.TOTL.FE.IN,Belgium,BEL,5617613,5653189,5679989,5703536,5732314,5753945,5766141,5781326,5802420,5828325
"Population, female",SP.POP.TOTL.FE.IN,Belize,BLZ,165121,169084,173008,176919,180791,184647,188479,192273,196070,199860
"Population, female",SP.POP.TOTL.FE.IN,Benin,BEN,4759222,4890899,5025698,5163932,5305830,5451503,5600895,5753796,5909895,6068950
"Population, female",SP.POP.TOTL.FE.IN,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Bhutan,BTN,328979,332656,336413,340164,343867,347496,351064,354586,358062,361525
"Population, female",SP.POP.TOTL.FE.IN,Bolivia,BOL,5075025,5157863,5240835,5323698,5406288,5488505,5570366,5651979,5733491,5815010
"Population, female",SP.POP.TOTL.FE.IN,Bosnia and Herzegovina,BIH,1863814,1835725,1804557,1774341,1748019,1726540,1709262,1695554,1684199,1674206
"Population, female",SP.POP.TOTL.FE.IN,Botswana,BWA,1031977,1047927,1063856,1080798,1099500,1120211,1142607,1166046,1189587,1212526
"Population, female",SP.POP.TOTL.FE.IN,Brazil,BRA,100129355,101066961,101992473,102907992,103814243,104712864,105601737,106473081,107316359,108123626
"Population, female",SP.POP.TOTL.FE.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Brunei Darussalam,BRN,189944,192127,194417,196756,199086,201415,203753,206056,208314,210496
"Population, female",SP.POP.TOTL.FE.IN,Bulgaria,BGR,3770298,3749213,3729310,3709343,3686934,3662344,3636886,3611859,3587537,3563441
"Population, female",SP.POP.TOTL.FE.IN,Burkina Faso,BFA,8100461,8339523,8584578,8835398,9091844,9353835,9621388,9894592,10173609,10458565
"Population, female",SP.POP.TOTL.FE.IN,Burundi,BDI,4528952,4672691,4819833,4971727,5129299,5292745,5461514,5634849,5811589,5990917
"Population, female",SP.POP.TOTL.FE.IN,Cabo Verde,CPV,249091,251994,255181,258457,261670,264791,267873,270898,273900,276871
"Population, female",SP.POP.TOTL.FE.IN,Cambodia,KHM,7454416,7574842,7699564,7825697,7950994,8074999,8198027,8319567,8439178,8556547
"Population, female",SP.POP.TOTL.FE.IN,Cameroon,CMR,10468054,10755870,11050423,11351123,11657496,11969336,12286573,12609010,12936459,13268789
"Population, female",SP.POP.TOTL.FE.IN,Canada,CAN,17303497,17494958,17683847,17864828,17999309,18202997,18419765,18677710,18939365,19142488
"Population, female",SP.POP.TOTL.FE.IN,Caribbean small states,CSS,3478492,3503211,3528134,3552848,3576969,3600422,3623204,3645305,3666800,3687636
"Population, female",SP.POP.TOTL.FE.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Central African Republic,CAF,2230666,2239125,2244484,2252275,2266606,2288847,2318147,2353555,2393206,2435722
"Population, female",SP.POP.TOTL.FE.IN,Central Europe and the Baltics,CEB,53861514,53718055,53581251,53447753,53307441,53158783,53019188,52910281,52834715,52752577
"Population, female",SP.POP.TOTL.FE.IN,Chad,TCD,6194441,6406230,6624061,6845615,7069237,7294423,7521758,7752004,7986360,8225689
"Population, female",SP.POP.TOTL.FE.IN,Channel Islands,CHI,81623,82104,82560,83062,83671,84408,85256,86150,87010,87789
"Population, female",SP.POP.TOTL.FE.IN,Chile,CHL,8752531,8837489,8924483,9019145,9124556,9243814,9373183,9500750,9610261,9690540
